model1_fake,model1_real,model2_fake,model2_real,id
0.286892315,0.713107685,0.604537094,0.395462906,1
0.09304366,0.90695634,0,1,2
0.857609139,0.142390861,0.894356006,0.105643994,3
0.098641318,0.901358682,0,1,4
0.116537084,0.883462916,0,1,5
0.189990459,0.810009541,0,1,6
0.1339989,0.8660011,0,1,7
0.911475539,0.088524461,1,0,8
0.787113832,0.212886168,0.604537094,0.395462906,9
0.797065341,0.202934659,0.604537094,0.395462906,10
0.179622415,0.820377585,0,1,11
0.616885796,0.383114204,1,0,12
0.45468381,0.54531619,0.894356006,0.105643994,13
0.054926141,0.945073859,0,1,14
0.135909183,0.864090817,0,1,15
0.135431672,0.864568328,0,1,16
0.667142527,0.332857473,1,0,17
0.026597508,0.973402492,0,1,18
0.621363006,0.378636994,0.894356006,0.105643994,19
0.870236416,0.129763584,0.604537094,0.395462906,20
0.925914116,0.074085884,0.894356006,0.105643994,21
0.14104689,0.85895311,0.604537094,0.395462906,22
0.755390919,0.244609081,1,0,23
0.226981681,0.773018319,0,1,24
0.522059497,0.477940503,0.894356006,0.105643994,25
0.627494682,0.372505318,0.604537094,0.395462906,26
0.749579246,0.250420754,0.604537094,0.395462906,27
0.246939681,0.753060319,0,1,28
0.019590524,0.980409476,0,1,29
0.688732397,0.311267603,0.894356006,0.105643994,30
0.78259174,0.21740826,1,0,31
0.930582631,0.069417369,1,0,32
0.126096621,0.873903379,0,1,33
0.589220939,0.410779061,0.604537094,0.395462906,34
0.864299468,0.135700532,0.894356006,0.105643994,35
0.877161525,0.122838475,1,0,36
0.227446815,0.772553185,0,1,37
0.966525606,0.033474394,1,0,38
0.089766906,0.910233094,0,1,39
0.937413274,0.062586726,1,0,40
0.202224435,0.797775565,0,1,41
0.776823596,0.223176404,0.894356006,0.105643994,42
0.089595103,0.910404897,0,1,43
0.387030501,0.612969499,0,1,44
0.05338389,0.94661611,0,1,45
0.085244077,0.914755923,0,1,46
0.088736766,0.911263234,0.604537094,0.395462906,47
0.123202556,0.876797444,0.604537094,0.395462906,48
0.219015486,0.780984514,0,1,49
